row,record,x,y,amplitude,thickness
1,38,60.0,7.444227695465088,161124.68971371418,15.686808510638294
1,39,60.0,8.43651008605957,180194.48241626177,16.383999999999997
1,40,60.0,9.330068588256836,240499.71723512252,16.383999999999997
1,41,60.0,10.454842567443848,354343.76208549435,16.568089887640447
1,42,60.0,11.304547309875488,5586580.3269506795,16.383999999999997
1,43,60.0,12.416049003601074,22609555.4413787,30.0
1,44,60.0,13.368642807006836,632758.3168898472,16.383999999999997
1,45,60.0,14.421828269958496,699439.9700060774,16.383999999999997
1,46,60.0,15.344409942626953,528773.0341586352,16.383999999999997
1,47,60.0,16.48113250732422,517900.8852739176,16.383999999999997
1,48,60.0,17.277225494384766,500744.5074027352,16.383999999999997
1,49,60.0,18.489208221435547,285007.45490052534,16.568089887640447
1,50,60.0,19.467750549316406,1228617.5819125627,16.20395604395604
1,51,60.0,20.53948402404785,1358293.1168310724,30.0
1,52,60.0,21.443517684936523,304047.9321812848,16.75636363636363
1,53,60.0,22.5291805267334,200088.74217289273,16.75636363636363
1,54,60.0,23.430023193359375,182492.713312442,16.75636363636363
1,55,60.0,24.508092880249023,149046.24645758743,16.948965517241376
1,56,60.0,25.416528701782227,213988.6157118627,16.948965517241376
1,57,60.0,26.521738052368164,55597.70618696088,17.55428571428571
1,58,60.0,27.607343673706055,85351.80483958997,17.55428571428571
1,59,60.0,28.45034408569336,45667.918963641605,17.55428571428571
1,60,60.0,29.675386428833008,137247.53992150963,17.1460465116279
1,61,60.0,30.460689544677734,194484.2540652544,16.948965517241376
1,62,60.0,31.46942901611328,453339.2047776686,16.948965517241376
1,63,60.0,32.460567474365234,515786.4000547572,16.948965517241376
1,64,60.0,33.622440338134766,420681.1439568675,16.948965517241376
1,65,60.0,34.4699592590332,333002.95377056644,16.948965517241376
1,66,60.0,35.60877990722656,272351.9569188732,16.75636363636363
1,67,60.0,36.40161895751953,131715.5966429079,16.75636363636363
1,68,60.0,37.61854934692383,150760.46872761686,20.19945205479452
1,69,60.0,38.4952507019043,189061.2228405299,10.169379310344826
1,70,60.0,39.632747650146484,35000000.0,16.383999999999997
1,71,60.0,40.43880081176758,35000000.0,20.76845070422535
2,0,62.0,41.690067291259766,35000000.0,30.0
2,1,62.0,40.80464172363281,35000000.0,23.78322580645161
2,2,62.0,39.891170501708984,4111769.5557164433,9.452307692307691
2,3,62.0,38.91948318481445,236766.6371372547,17.347764705882348
2,4,62.0,37.9154052734375,144052.4726394839,17.347764705882348
2,5,62.0,36.87733840942383,180040.6993414672,17.347764705882348
2,6,62.0,35.93963623046875,194731.3153353861,17.1460465116279
2,7,62.0,34.82034683227539,252186.5552437353,17.1460465116279
2,8,62.0,33.7999267578125,261081.44176504906,17.1460465116279
2,9,62.0,32.836944580078125,335563.8179602396,17.347764705882348
2,10,62.0,31.816295623779297,110819.0235969196,17.347764705882348
2,11,62.0,30.861764907836914,147647.06646553837,17.55428571428571
2,12,62.0,29.831098556518555,107330.5085243496,17.765783132530117
2,13,62.0,28.852645874023438,143072.25278845246,17.765783132530117
2,14,62.0,27.873485565185547,157052.48996325687,16.948965517241376
2,15,62.0,26.844663619995117,177763.43359777893,16.383999999999997
2,16,62.0,25.904630661010742,1254767.6493752503,30.0
2,17,62.0,24.89037322998047,252784.7122598226,16.20395604395604
2,18,62.0,23.96074104309082,202040.79737960486,16.383999999999997
2,19,62.0,22.794567108154297,267023.06745048857,16.383999999999997
2,20,62.0,21.90437126159668,398543.8029748652,16.383999999999997
2,21,62.0,20.81085777282715,515776.80346706614,16.383999999999997
2,22,62.0,19.9449520111084,469126.7068443593,16.568089887640447
2,23,62.0,18.82646369934082,386757.56459608494,16.568089887640447
2,24,62.0,17.69600486755371,358930.3848744322,16.383999999999997
2,25,62.0,16.814632415771484,565669.5647832282,16.383999999999997
2,26,62.0,15.698760032653809,593894.9199139968,16.383999999999997
2,27,62.0,14.849560737609863,441837.8356817202,16.383999999999997
2,28,62.0,13.712254524230957,2312641.7448953628,30.0
2,29,62.0,12.838784217834473,3323956.4442643323,30.0
2,30,62.0,11.715011596679688,274019.8131794644,16.383999999999997
2,31,62.0,10.80591106414795,539871.8552493682,30.0
2,32,62.0,9.675350189208984,450567.39461498865,16.20395604395604
2,33,62.0,8.868356704711914,254835.17128575206,15.686808510638294
2,34,62.0,7.70205545425415,246758.74550292047,15.521684210526313
2,35,62.0,6.841495037078857,178445.57482610186,15.359999999999998
2,36,62.0,5.7125935554504395,193983.3044598002,15.359999999999998
2,37,62.0,4.947176456451416,198452.15902725197,14.894545454545451
2,38,62.0,3.7904281616210938,344575.5414410783,14.599603960396037
2,39,62.0,2.657546043395996,2046322.4281564322,30.0
2,40,62.0,1.8046088218688965,203946.8607512257,14.599603960396037
2,41,62.0,0.6826769113540649,111607.08825395309,14.894545454545451
2,42,62.0,-0.15317057073116302,114612.9080944437,15.201649484536079
2,43,62.0,-1.2384649515151978,99420.64810423068,15.359999999999998
2,44,62.0,-2.16904878616333,96766.13810953243,15.521684210526313
2,45,62.0,-3.205481767654419,107449.22772232458,6.612376681614348
2,46,62.0,-4.1662917137146,23823.64414984358,18.432
2,47,62.0,-5.229101181030273,85469.63712932958,6.795207373271888
2,48,62.0,-6.142059326171875,85413.14195067323,20.76845070422535
2,49,62.0,-7.202369213104248,101852.42719003627,21.065142857142853
2,50,62.0,-8.128564834594727,515749.1645161527,22.008358208955222
2,51,62.0,-9.263291358947754,300788.024699919,22.34181818181818
2,52,62.0,-10.409622192382812,7113469.699919447,30.0
2,53,62.0,-11.262249946594238,8963977.841484383,30.0
2,54,62.0,-12.347637176513672,3142514.860841297,30.0
2,55,62.0,-13.229268074035645,1070752.6105363658,22.34181818181818
2,56,62.0,-14.299555778503418,198363.6529463585,20.19945205479452
2,57,62.0,-15.365885734558105,142886.08391578984,20.19945205479452
2,58,62.0,-16.16048812866211,153341.11474896647,20.19945205479452
2,59,62.0,-17.35239028930664,133322.01227735885,19.926486486486482
2,60,62.0,-18.157894134521484,494163.5395039959,30.0
2,61,62.0,-19.316762924194336,404048.07094211155,20.19945205479452
2,62,62.0,-20.133499145507812,1840075.597165227,30.0
2,63,62.0,-21.302824020385742,1044664.5739963587,30.0
2,64,62.0,-22.313283920288086,364695.8291506057,19.926486486486482
2,65,62.0,-23.23345375061035,165572.6277083831,30.0
2,66,62.0,-24.299789428710938,106453.8122746926,20.479999999999997
2,67,62.0,-25.1921443939209,118008.2970628543,20.479999999999997
2,68,62.0,-26.37779998779297,109198.72539799518,20.19945205479452
2,69,62.0,-27.525005340576172,124909.65976039639,19.926486486486482
2,70,62.0,-28.515398025512695,216497.55323087977,19.6608
2,71,62.0,-29.55429458618164,550743.1078215154,30.0
2,72,62.0,-30.761526107788086,121201.3844314814,19.150129870129867
3,0,64.0,-29.966032028198242,124406.74684971148,19.402105263157893
3,1,64.0,-29.203126907348633,127606.38355040381,19.926486486486482
3,2,64.0,-28.10099220275879,150898.4930762773,20.19945205479452
3,3,64.0,-27.27725601196289,135130.42796777512,20.19945205479452
3,4,64.0,-26.125226974487305,163717.0802008151,20.19945205479452
3,5,64.0,-25.270402908325195,162735.46121255428,20.19945205479452
3,6,64.0,-24.25044059753418,154631.7097582901,19.926486486486482
3,7,64.0,-23.28179359436035,169648.62924080022,19.6608
3,8,64.0,-22.194059371948242,184817.64906031458,19.6608
