row,record,x,y,frequency,thickness,expected_thickness,amplitude,noise_amplitude,noise_ratio,thickness_frequency_amplitude,p_wave_integral,y_loc,left_clipped,right_clipped,left_amp_max,right_amp_max,exp_decay,time_delay,contact_time,starting_frequency,ending_frequency,frequency_range,x_localized,y_localized,frequencies,mean_amplitudes,x_bin,y_bin
8,23,8,23,11816.406250000002,6.0932231404958666,12.0,89697.84534350876,20266.488177591695,0.6689741541941248,5.8485539500508885,51019.75310915592,45.38331985473633,0,0,274731.44531250006,192150.87890625006,0.22843393078473684,17.567999999999998,8e-05,2001.9531250000002,18164.062500000004,16162.109375000004,74.0,45.38331985473633,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[7.29169778e-33 1.02629613e-02 2.79764766e-02 ... 3.59913895e-05
 2.42450579e-05 2.92119996e-05]",,
8,24,8,24,6103.515625000001,11.796479999999997,12.0,77818.01377044673,16972.53710848409,1.0,2.735671297288634,20296.080144279884,46.494075775146484,0,0,140185.54687499994,82580.56640625,0.19338240239877535,18.144,8.5e-05,2294.9218750000005,12451.171875000002,10156.250000000002,74.0,46.494075775146484,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[2.82967256e-33 3.77007734e-02 6.49362642e-02 ... 4.27788291e-05
 2.40348619e-05 2.13526761e-05]",,
8,25,8,25,6250.000000000001,11.519999999999998,12.0,297358.4458801116,55456.221476429615,0.6200465290076855,32.88231834981946,230115.21445708146,47.34931182861328,0,0,223974.6093749999,280371.0937499999,0.362758191816989,1.368,7.3e-05,5761.718750000001,7373.046875000001,1611.328125,74.0,47.34931182861328,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[5.99988128e-33 2.32177356e-02 4.74045738e-02 ... 1.64011590e-05
 5.60666001e-06 4.16433544e-06]",,
8,26,8,26,6152.343750000001,11.702857142857141,12.0,20694.556492801148,5458.255562449864,0.3826746227204904,1.5166168537070632,10655.427445185109,48.440284729003906,0,0,114404.29687499997,234448.24218749994,0.0,20.952,7.8e-05,3125.0000000000005,16943.359375000004,13818.359375000004,74.0,48.440284729003906,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[4.14853708e-32 4.24067240e-03 6.08710368e-03 ... 6.12316255e-05
 2.38074343e-05 1.35176859e-05]",,
8,27,8,27,6445.312500000001,11.17090909090909,12.0,69352.62844779875,10762.73276689904,0.4138338245117033,6.489396013930968,105318.61865761974,49.32371520996094,0,0,196582.03124999994,238073.7304687499,0.15084375362359506,14.04,7.7e-05,3027.3437500000005,17138.671875000004,14111.328125000004,74.0,49.32371520996094,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[3.73653515e-33 3.34781048e-03 1.20898532e-02 ... 8.89954657e-05
 4.38808092e-05 2.68732150e-05]",,
8,28,8,28,8251.953125000002,8.725207100591714,12.0,282996.5640486087,30990.03827766743,1.0,5.11032427626049,298672.6266660097,50.416893005371094,0,0,225183.1054687501,225585.9375,0.15319445490519804,12.96,7.5e-05,4443.359375000001,16259.765625000002,11816.40625,74.0,50.416893005371094,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[2.94864248e-32 2.40811465e-02 7.47344124e-02 ... 5.14266078e-05
 1.55720092e-05 3.32238523e-06]",,
8,29,8,29,4638.671875000001,15.521684210526313,12.0,88507.58772888916,9475.423189650806,0.2818150661469789,6.457433231051123,420000.57371506287,51.27330780029297,0,0,82177.73437499997,141394.04296875003,0.2815889509813594,12.600000000000001,7.5e-05,732.4218750000001,18457.031250000004,17724.609375000004,74.0,51.27330780029297,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[4.72822695e-32 1.96410144e-03 1.59247759e-03 ... 5.40336891e-05
 2.07519797e-05 1.15490805e-05]",,
8,30,8,30,4687.500000000001,15.359999999999998,12.0,91421.2762744049,8413.839493398935,0.3817242568490692,7.067303333555992,337146.0055578185,52.345481872558594,0,0,96276.85546874997,138574.21874999997,0.29078285771680445,12.600000000000001,7.6e-05,830.0781250000001,17529.296875000004,16699.218750000004,74.0,52.345481872558594,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[1.25414850e-34 3.56638664e-02 7.68014301e-02 ... 1.47640292e-05
 2.99171782e-06 3.20743430e-06]",,
8,31,8,31,4736.328125000001,15.201649484536079,12.0,53499.97965524878,2973.533107012812,0.13173236309134312,11.410425740655272,351505.7081060648,53.25981521606445,0,0,142602.53906249997,239685.05859375,0.31881673379915365,12.528,7.9e-05,1318.3593750000002,15917.968750000002,14599.609375000002,74.0,53.25981521606445,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[2.92983025e-33 1.04074763e-02 3.50636882e-02 ... 2.99331882e-05
 3.21111832e-05 4.34470805e-05]",,
8,32,8,32,4785.156250000001,15.046530612244894,12.0,72146.28522355974,7118.960105551195,0.2941769937316565,14.628344101753054,377455.10307457455,54.33644485473633,0,0,124072.26562499996,182482.91015624994,0.3986751432117397,12.672,8.1e-05,1123.0468750000002,16113.281250000002,14990.234375000002,74.0,54.33644485473633,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[1.10069168e-31 7.92377451e-03 2.79164090e-02 ... 1.88402235e-05
 4.14810928e-06 4.53662092e-08]",,
