,row,record,x,y,frequency,thickness,expected_thickness,amplitude,noise_amplitude,noise_ratio,thickness_frequency_amplitude,p_wave_integral,y_loc,left_clipped,right_clipped,left_amp_max,right_amp_max,exp_decay,time_delay,contact_time,starting_frequency,ending_frequency,frequency_range,x_localized,y_localized,frequencies,mean_amplitudes,noise,clipped,debond,thickness_diff,defect,ie_defect,ie_defects
29,0,29,0,53,1220.7031249999998,30.0,13.125,1106470761.740862,14541.04610132721,0.0284128752290294,57139.56467117582,32289200.692806035,0,1,0,825000,329516,0.4945533027350499,25.92,7e-05,0.0,49999.99999999999,49999.99999999999,0,0,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.99023437e+04
 4.99511719e+04 5.00000000e+04]","[1.50007309e-28 5.73514239e+01 1.72082959e+02 ... 2.12148260e-06
 1.08710915e-04 1.02195623e-06]",0,1,1,1,0,0,0
30,0,30,0,54,1171.8749999999998,30.0,13.125,841675058.5900806,13248.575121770233,0.0317159758023765,29655.32317579272,25970321.45671644,0,1,0,825000,327099,0.5857759696037214,23.76,8e-05,0.0,49999.99999999999,49999.99999999999,0,0,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.99023437e+04
 4.99511719e+04 5.00000000e+04]","[1.78367787e-31 1.39510046e+02 2.63191355e+02 ... 4.92206271e-07
 2.25500757e-04 2.45480350e-07]",0,1,1,1,0,0,0
31,0,31,0,55,3027.3437499999995,23.78322580645161,13.125,991843789.3747276,12323.68695223589,0.0298726705654601,28634.719690127306,26862937.410123453,0,1,0,825000,145019,0.8369558127934107,19.44,0.0001,0.0,49999.99999999999,49999.99999999999,0,0,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.99023437e+04
 4.99511719e+04 5.00000000e+04]","[2.15825022e-29 7.45874074e+01 3.27687503e+02 ... 1.80100573e-05
 3.14168617e-04 9.00290899e-06]",0,1,1,1,0,0,0
32,0,32,0,56,2392.5781249999995,30.0,13.125,1043099380.437744,49620.52264579071,0.0907104837250576,39488.00665038291,31875115.260814592,0,1,0,825000,205847,0.0,27.360000000000003,8e-05,0.0,49999.99999999999,49999.99999999999,0,0,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.99023437e+04
 4.99511719e+04 5.00000000e+04]","[9.85036104e-29 7.42753804e+01 1.14715692e+02 ... 1.17589322e-06
 1.25833671e-04 5.92124678e-07]",0,1,1,1,0,0,0
33,0,33,0,57,1953.125,30.0,13.125,966397291.5666713,50185.32229300832,0.0966798223456734,31103.629636804395,30092495.26045929,0,1,0,825000,139782,0.0,24.48,7e-05,0.0,49999.99999999999,49999.99999999999,0,0,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.99023437e+04
 4.99511719e+04 5.00000000e+04]","[4.85606300e-29 1.35374427e+01 2.61379291e+01 ... 5.07067749e-07
 2.02395042e-05 2.54619399e-07]",0,1,1,1,0,0,0
34,0,34,0,58,2148.4374999999995,30.0,13.125,1016391603.9093132,60845.28210848088,0.1149462070776934,29920.524127770783,29006819.835311256,0,1,0,825000,147839,0.6389942719039151,25.200000000000003,7e-05,0.0,49999.99999999999,49999.99999999999,0,0,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.99023437e+04
 4.99511719e+04 5.00000000e+04]","[2.78699667e-29 1.02373668e+00 7.68748686e+00 ... 5.03791717e-07
 3.88941443e-06 2.58727151e-07]",0,1,1,1,0,0,0
35,0,35,0,59,3955.078125,18.204444444444448,13.125,1083360769.1044257,63471.54452737847,0.104465775524028,43068.18372939699,39279905.3303608,0,1,0,825000,300915,0.0,28.8,7e-05,0.0,49999.99999999999,49999.99999999999,0,0,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.99023437e+04
 4.99511719e+04 5.00000000e+04]","[8.49209034e-28 2.94443076e+00 2.44908685e+00 ... 6.11515993e-07
 2.45443991e-06 3.17401104e-07]",0,1,1,1,0,0,0
36,0,36,0,60,2050.7812499999995,30.0,13.125,838724957.6096576,13204.828200484944,0.0262249646255912,26541.513889984988,29402005.29534312,0,1,0,825000,210278,0.4905959897274055,32.4,8e-05,0.0,49999.99999999999,49999.99999999999,0,0,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.99023437e+04
 4.99511719e+04 5.00000000e+04]","[1.71411443e-28 1.44367439e+00 5.38047091e+00 ... 1.14750087e-06
 1.48559967e-06 5.65631018e-07]",0,1,1,1,0,0,0
37,0,37,0,61,3857.421875,18.665316455696207,13.125,804910771.5155978,45368.494321489066,0.0874380852578471,41398.071851271205,28585594.35259772,0,1,0,825000,749267,0.5982785380974847,34.56,7e-05,0.0,49999.99999999999,49999.99999999999,0,0,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.99023437e+04
 4.99511719e+04 5.00000000e+04]","[1.82648614e-28 4.95592220e+00 5.41231075e+00 ... 7.48775876e-07
 7.67250524e-06 3.17870123e-07]",0,1,1,1,0,0,0
38,0,38,0,62,3320.3124999999995,21.684705882352944,13.125,1035004899.8236064,48794.04871990487,0.0849272985468427,91686.14740924236,35996596.47179046,0,1,0,825000,775451,0.0,23.040000000000003,7e-05,0.0,49999.99999999999,49999.99999999999,0,0,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.99023437e+04
 4.99511719e+04 5.00000000e+04]","[2.18500539e-30 2.62402521e+01 1.08174297e+02 ... 7.48675795e-06
 1.06932422e-04 3.76172494e-06]",0,1,1,1,0,0,0
