x,y,impactor,frequency,thickness,expected_thickness,amplitude,noise_amplitude,noise_ratio,thickness_frequency_amplitude,p_wave_integral,y_loc,transducers_clipped,transducers_amp_max,exp_decay,time_delay,contact_time,starting_frequency,ending_frequency,frequency_range,calculated_cpp,ie_defects,pre_impact_resonance_frequency,pre_impact_resonance_frequency_amplitude,x_localized,y_localized,frequencies,mean_amplitudes,impactor_mass,sensor_ids,x_bin,y_bin,noise,clipped,debond,thickness_diff,defect,ie_defect
7,49,1,5175.78125,13.9109434,12,12016055.59,11099.17707,0.406956526,7.722058233,12291145.87,51.96460342,"[0, 0, 0]","[191345.21484375, 375036.6210937499, 233642.578125]",0.129323676,14.76,7.20E-05,1513.671875,26318.35938,24804.6875,10351.5625,0,97.65625,0.801513174,18,51.96460342,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[3.51867039e-32 2.64268099e-02 4.82386065e-02 ... 1.49459203e-06
 1.48670223e-06 1.03797774e-06]",8.5,"[1, 0, 2]",18,51,0,0,0,0,1,0
7,48,0,5224.609375,13.78093458,12,1225709.881,4064.086414,0.265800651,4.663785054,7882767.495,51.16690063,"[0, 0, 0]","[55187.988281250044, 76538.0859375, 51965.33203124998]",0.361733517,13.608,0.000124,439.453125,16894.53125,16455.07813,10449.21875,0,2246.09375,0.265168441,18,51.16690063,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[2.42895469e-32 4.54116801e-03 1.19832952e-02 ... 5.04149888e-06
 5.02196223e-06 5.32093429e-06]",37.5,"[1, 0, 2]",18,51,0,0,0,0,1,0
7,47,1,19482.42188,3.695639098,12,78465165.84,10189.9724,0.163584366,14.50976026,25383541.45,50.23780823,"[0, 26, 0]","[641308.5937499999, 825000.0, 704956.0546875]",0.120767558,14.904,6.00E-05,0,49951.17188,49951.17188,38964.84375,0,2001.953125,0.736478313,18,50.23780823,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[4.51493461e-33 2.29176649e-02 4.33968508e-02 ... 6.62385631e-06
 5.07409123e-06 2.90292111e-06]",8.5,"[1, 0, 2]",18,50,0,0,1,0,0,0
7,46,0,5175.78125,13.9109434,12,1789320.014,4049.519592,0.25901752,3.974579685,7440764.716,48.9539299,"[0, 0, 0]","[50756.83593750002, 90637.20703125, 298498.53515625]",0.199292697,14.76,0.000126,585.9375,24072.26563,23486.32813,10351.5625,0,2246.09375,0.361675343,18,48.9539299,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[1.19732534e-32 4.35758234e-03 1.45955337e-02 ... 4.39640490e-07
 2.46480132e-07 1.29229222e-07]",37.5,"[1, 0, 2]",18,48,0,0,0,0,0,0
7,45,1,16748.04688,4.299008746,12,13388098.45,9198.052931,0.260303061,6.623829572,13071256.09,47.76847076,"[0, 0, 0]","[322265.625, 425390.6249999999, 441906.73828125]",0.135169907,15.768,6.50E-05,2441.40625,26757.8125,24316.40625,33496.09375,0,2099.609375,0.509961175,18,47.76847076,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[4.14652849e-33 6.40732798e-03 1.19124244e-02 ... 2.03741304e-06
 9.88155935e-07 4.26314545e-07]",8.5,"[1, 0, 2]",18,47,0,0,0,0,1,0
7,44,0,3613.28125,19.92648649,12,1935198.393,4156.954359,0.359586499,1.145826117,5264154.495,46.89862442,"[0, 0, 0]","[64855.95703125002, 100305.17578124997, 70495.60546875]",0.123576416,15.696,0.000123,390.625,29052.73438,28662.10938,7226.5625,0,1611.328125,0.319497818,18,46.89862442,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[2.52790668e-33 1.10293445e-02 2.83930911e-02 ... 1.23700161e-06
 6.10646476e-07 1.77798381e-07]",37.5,"[1, 0, 2]",18,46,0,0,0,1,0,0
7,43,1,13427.73438,5.362036364,12,16919604.57,13242.84395,0.505873856,3.61344357,13020623.48,46.14500427,"[0, 0, 0]","[233239.7460937501, 483801.2695312499, 233239.7460937501]",0.120820174,17.28,7.20E-05,1660.15625,26367.1875,24707.03125,26855.46875,0,97.65625,1.071992956,18,46.14500427,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[3.93282245e-34 1.27909971e-02 2.32294929e-02 ... 3.46073665e-07
 8.21217033e-07 1.17872127e-06]",8.5,"[1, 0, 2]",18,46,0,0,0,0,1,0
7,42,0,3466.796875,20.7684507,12,1369455.329,3924.555378,0.305956729,1.509377534,5703030.634,45.3146286,"[0, 0, 0]","[53979.49218749998, 84191.89453124997, 51965.33203124998]",0.304085465,16.2,0.000125,390.625,18115.23438,17724.60938,6933.59375,0,1757.8125,0.304249064,18,45.3146286,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[2.51618987e-35 1.40672613e-02 3.57824096e-02 ... 7.42638028e-06
 6.37872876e-06 5.79895208e-06]",37.5,"[1, 0, 2]",18,45,0,0,0,1,0,0
7,41,1,12988.28125,5.543458647,12,15712126.57,12709.06053,0.453227074,3.199099082,13149657.17,44.11295319,"[0, 0, 0]","[248547.36328125006, 468090.82031250006, 599816.89453125]",0.077558605,18,7.30E-05,1708.984375,23779.29688,22070.3125,25976.5625,0,97.65625,0.966095219,18,44.11295319,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[5.36692820e-33 1.56781236e-02 2.83918983e-02 ... 5.85063996e-07
 6.95043366e-07 6.40282857e-07]",8.5,"[1, 0, 2]",18,44,0,0,0,0,1,0
7,40,0,3417.96875,21.06514286,12,1358070.874,3546.831522,0.253507404,1.816372274,6932804.098,42.75994492,"[0, 0, 0]","[60424.8046875, 95471.19140625004, 239685.05859375]",0.285213831,16.344,0.000123,439.453125,25683.59375,25244.14063,6835.9375,0,1757.8125,0.252190233,18,42.75994492,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.98535156e+04
 4.99023438e+04 4.99511719e+04]","[9.73973687e-33 1.46515451e-02 3.73467082e-02 ... 1.12587071e-06
 1.31275945e-06 1.30006874e-06]",37.5,"[1, 0, 2]",18,42,0,0,0,1,0,0
