,row,record,x,y,impactor,frequency,thickness,expected_thickness,amplitude,noise_amplitude,noise_ratio,thickness_frequency_amplitude,p_wave_integral,y_loc,transducers_clipped,transducers_amp_max,exp_decay,time_delay,contact_time,starting_frequency,ending_frequency,frequency_range,calculated_cpp,ie_defects,pre_impact_resonance_frequency,pre_impact_resonance_frequency_amplitude,x_localized,y_localized,frequencies,mean_amplitudes,impactor_mass,sensor_ids,x_bin,y_bin,noise,clipped,debond,thickness_diff,defect,ie_defect
603,13,5,13,66,1.0,4296.874999999999,16.75636363636364,12,6108459.408360678,7644.27289813372,0.20887693127593462,176.2387147508756,1947744.6093195062,61.08771896362305,"[0, 0]","[231225.5859375001, 99499.51171875004]",0.2650862991969537,17.28,9e-05,537.1093749999999,25683.593749999996,25146.484374999996,8593.749999999998,1,10156.249999999998,0.3230444398895656,72.0,61.08771896362305,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.99023437e+04
 4.99511719e+04 5.00000000e+04]","[1.88400975e-30 1.91413966e-01 1.18037676e+00 ... 8.02977292e-08
 1.11191798e-06 3.83089023e-08]",15.0,"[0, 1]",72.0,61.0,0,0,0,1,1,1
604,13,6,13,65,1.0,4296.874999999999,16.75636363636364,12,4650777.619778531,6450.027428264016,0.18865103946574663,145.84199334540713,1755883.2707816844,60.02886962890625,"[0, 0]","[203027.3437500001, 87414.55078125004]",0.24655675832809076,17.28,9e-05,146.48437499999997,26855.468749999996,26708.984374999996,8593.749999999998,1,25732.421874999996,0.280731085650972,72.0,60.02886962890625,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.99023437e+04
 4.99511719e+04 5.00000000e+04]","[8.53517731e-31 1.54028549e-01 9.35665165e-01 ... 1.26453445e-06
 2.85371182e-06 6.10130460e-07]",15.0,"[0, 1]",72.0,60.0,0,0,0,1,1,1
605,13,7,13,64,1.0,4296.874999999999,16.75636363636364,12,5058296.909050667,6893.776327871982,0.23596875245303897,103.67314906490604,1660578.3685437797,59.055904388427734,"[0, 0]","[204638.67187499994, 103125.00000000003]",0.2125059769222214,17.28,9e-05,292.96874999999994,26464.843749999996,26171.874999999996,8593.749999999998,1,10205.078124999998,0.3442188919400382,72.0,59.055904388427734,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.99023437e+04
 4.99511719e+04 5.00000000e+04]","[1.92041490e-32 1.45975124e-01 1.01379539e+00 ... 1.56331073e-05
 1.77105837e-05 7.66732843e-06]",15.0,"[0, 1]",72.0,59.0,0,0,0,1,1,1
606,13,8,13,63,1.0,4296.874999999999,16.75636363636364,12,5840335.870635428,8639.607280634638,0.3011719430544426,64.32150399020686,1603033.593530974,58.06312942504883,"[0, 0]","[207861.3281249999, 39074.707031250044]",0.28263877485033306,16.560000000000002,9e-05,292.96874999999994,26855.468749999996,26562.499999999996,8593.749999999998,1,10205.078124999998,0.3269138203107237,72.0,58.06312942504883,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.99023437e+04
 4.99511719e+04 5.00000000e+04]","[5.85966051e-31 1.60089536e-01 1.19054563e+00 ... 2.77710445e-06
 3.71356924e-06 1.40265569e-06]",15.0,"[0, 1]",72.0,58.0,0,0,0,1,1,1
607,13,9,13,62,1.0,5175.781249999999,13.910943396226418,12,7630036.767045535,10256.195552752915,0.35988698316348283,92.66492863924637,1691272.0923498245,56.94163513183594,"[0, 0]","[246936.03515624994, 34643.55468750002]",0.2946847209630379,15.84,9e-05,439.45312499999994,26513.671874999996,26074.218749999996,10351.562499999998,0,35888.67187499999,0.30511092192866224,72.0,56.94163513183594,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.99023437e+04
 4.99511719e+04 5.00000000e+04]","[6.27074251e-33 1.19842415e-01 8.87582467e-01 ... 1.24668211e-06
 1.67346387e-06 5.84987826e-07]",15.0,"[0, 1]",72.0,56.0,0,0,0,0,1,0
608,13,10,13,61,1.0,5175.781249999999,13.910943396226418,12,13099136.7872155,11639.976424453282,0.2654144055640126,172.2657282582574,2162045.9861245668,55.94649124145508,"[0, 0]","[348449.70703125, 10473.632812500022]",0.2308267493291759,15.84,8e-05,146.48437499999997,35888.67187499999,35742.18749999999,10351.562499999998,0,10156.249999999998,0.2077974267787227,72.0,55.94649124145508,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.99023437e+04
 4.99511719e+04 5.00000000e+04]","[2.78699667e-31 2.21545329e-01 1.67923767e+00 ... 1.62130680e-05
 1.77842493e-05 8.01215654e-06]",15.0,"[0, 1]",72.0,55.0,0,0,0,0,1,0
609,13,11,13,60,1.0,5175.781249999999,13.910943396226418,12,19696770.85945381,10354.251422941727,0.17627737849022873,258.76829999759724,2362215.769120129,55.05303955078125,"[0, 0]","[520056.1523437499, 92651.3671875]",0.16668859707791905,15.84,0.0001,341.79687499999994,41992.18749999999,41650.39062499999,10351.562499999998,0,10156.249999999998,0.24605704532973255,72.0,55.05303955078125,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.99023437e+04
 4.99511719e+04 5.00000000e+04]","[4.01327521e-31 2.93476325e-01 2.22432613e+00 ... 2.30301334e-05
 2.54383127e-05 1.15014671e-05]",15.0,"[0, 1]",72.0,55.0,0,0,1,0,0,0
610,13,12,13,59,1.0,4492.187499999999,16.027826086956527,12,9840325.180020519,10060.86625213807,0.18395560776248182,209.69711377728336,2082788.2023767596,53.962074279785156,"[0, 0]","[277551.2695312501, 91442.87109375004]",0.328369707615077,15.84,0.0001,439.45312499999994,32177.734374999996,31738.281249999996,8984.374999999998,1,28124.999999999996,0.26910545906369787,72.0,53.962074279785156,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.99023437e+04
 4.99511719e+04 5.00000000e+04]","[8.43066494e-32 2.19399939e-01 1.65131643e+00 ... 4.49242241e-06
 6.21810087e-06 2.24616024e-06]",15.0,"[0, 1]",72.0,53.0,0,0,0,1,1,1
611,13,13,13,58,1.0,4492.187499999999,16.027826086956527,12,6807165.709218104,10013.600440825609,0.21392182681737165,220.64401618477476,1877964.1360835342,53.00229263305664,"[0, 0]","[225988.7695312499, 104333.49609374997]",0.33225321870026736,16.560000000000002,9e-05,439.45312499999994,33837.89062499999,33398.43749999999,8984.374999999998,1,28124.999999999996,0.2794526633311614,72.0,53.00229263305664,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.99023437e+04
 4.99511719e+04 5.00000000e+04]","[2.38462403e-31 1.91302169e-01 1.38151221e+00 ... 1.11942140e-04
 1.10896560e-04 5.58142557e-05]",15.0,"[0, 1]",72.0,53.0,0,0,0,1,1,1
612,13,14,13,57,1.0,4541.015624999999,15.855483870967745,12,9683486.07801116,8929.126565690682,0.17739571289307332,389.50853517065,2455385.0977306953,51.93022155761719,"[0, 0]","[274731.44531250006, 87011.71875000003]",0.2750108539064984,15.84,9e-05,390.62499999999994,27050.781249999996,26660.156249999996,9082.031249999998,1,30273.437499999996,0.44439505804556495,72.0,51.93022155761719,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.99023437e+04
 4.99511719e+04 5.00000000e+04]","[4.89292103e-31 1.53065237e-01 9.82025738e-01 ... 3.37047811e-07
 1.02799832e-06 1.06451779e-07]",15.0,"[0, 1]",72.0,51.0,0,0,0,1,1,1
613,13,15,13,56,1.0,4541.015624999999,15.855483870967745,12,9155349.759962933,9698.407332421972,0.19307656940019324,466.3529848825917,2686257.3900019377,50.936309814453125,"[0, 0]","[253381.3476562501, 79357.91015625004]",0.42578635225509487,15.84,0.0001,439.45312499999994,31201.171874999996,30761.718749999996,9082.031249999998,1,30273.437499999996,0.5943519958497476,72.0,50.936309814453125,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.99023437e+04
 4.99511719e+04 5.00000000e+04]","[2.26373805e-30 1.72538621e-01 1.18116947e+00 ... 2.07184933e-05
 2.28598762e-05 1.03278673e-05]",15.0,"[0, 1]",72.0,50.0,0,0,0,1,1,1
614,13,16,13,55,1.0,4541.015624999999,15.855483870967745,12,9956151.88865284,11084.563535111674,0.21746277696039767,503.7823762882048,2833712.490936784,50.00458526611328,"[0, 0]","[259423.8281250001, 104333.49609374997]",0.31021705594744875,15.84,9e-05,341.79687499999994,25439.453124999996,25097.656249999996,9082.031249999998,1,25732.421874999996,0.345625584672558,72.0,50.00458526611328,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.99023437e+04
 4.99511719e+04 5.00000000e+04]","[1.11479867e-32 1.87327185e-01 1.23453275e+00 ... 1.98140734e-04
 2.03566390e-04 9.89249102e-05]",15.0,"[0, 1]",72.0,50.0,0,0,0,1,1,1
615,13,17,13,54,1.0,4541.015624999999,15.855483870967745,12,8287511.356070632,9247.177849665328,0.1940865657751048,430.06476574951296,2590748.8649109066,48.94410705566406,"[0, 0]","[231225.5859375001, 100305.17578124997]",0.2924652615263488,16.560000000000002,9e-05,341.79687499999994,24804.687499999996,24462.890624999996,9082.031249999998,1,10156.249999999998,0.27680644870581456,72.0,48.94410705566406,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.99023437e+04
 4.99511719e+04 5.00000000e+04]","[5.64366826e-32 2.32702192e-01 1.51673063e+00 ... 1.11079970e-05
 1.39149880e-05 5.52318418e-06]",15.0,"[0, 1]",72.0,48.0,0,0,0,1,1,1
616,13,18,13,53,1.0,4492.187499999999,16.027826086956527,12,9798099.580658875,10330.01439218415,0.20930387903836034,442.516216783528,2672589.3265324393,47.952293395996094,"[0, 0]","[271911.62109375, 87817.38281249996]",0.19198669386558873,16.560000000000002,9e-05,341.79687499999994,25537.109374999996,25195.312499999996,8984.374999999998,1,38330.07812499999,0.2738207368551282,72.0,47.952293395996094,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.99023437e+04
 4.99511719e+04 5.00000000e+04]","[1.11479867e-30 2.51875255e-01 1.63256537e+00 ... 6.99055574e-06
 9.55824524e-06 3.48677635e-06]",15.0,"[0, 1]",72.0,47.0,0,0,0,1,1,1
617,13,19,13,52,1.0,4492.187499999999,16.027826086956527,12,9321545.764961844,10119.902343036078,0.22936876579555138,373.8560645997799,2487413.718321093,46.995384216308594,"[0, 0]","[267077.63671874994, 107958.98437499996]",0.2625069048972073,15.84,9e-05,439.45312499999994,26220.703124999996,25781.249999999996,8984.374999999998,1,28173.828124999996,0.4184367112810671,72.0,46.995384216308594,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.99023437e+04
 4.99511719e+04 5.00000000e+04]","[1.00331880e-31 2.07080608e-01 1.22867830e+00 ... 9.44974669e-06
 9.21616455e-06 4.69748874e-06]",15.0,"[0, 1]",72.0,46.0,0,0,0,1,1,1
618,13,20,13,51,1.0,4492.187499999999,16.027826086956527,12,8306430.507260142,8877.652883335768,0.21268843717497254,316.7142812552073,2364763.9889997737,45.94382095336914,"[0, 0]","[246936.03515624994, 75329.58984375004]",0.31035839753392624,16.560000000000002,9e-05,244.14062499999997,24902.343749999996,24658.203124999996,8984.374999999998,1,28124.999999999996,0.29203502753217486,72.0,45.94382095336914,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.99023437e+04
 4.99511719e+04 5.00000000e+04]","[1.00331880e-31 2.94199995e-01 1.69208906e+00 ... 3.95648528e-05
 3.72714762e-05 1.96305341e-05]",15.0,"[0, 1]",72.0,45.0,0,0,0,1,1,1
619,13,21,13,50,1.0,4492.187499999999,16.027826086956527,12,7888231.670776644,10741.044489943803,0.2462392743443549,322.2217863865548,2260848.156037257,44.994346618652344,"[0, 0]","[223974.6093749999, 72912.59765625003]",0.3478578324459043,16.560000000000002,0.0001,341.79687499999994,22070.312499999996,21728.515624999996,8984.374999999998,1,30175.781249999996,0.4247352420876566,72.0,44.994346618652344,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.99023437e+04
 4.99511719e+04 5.00000000e+04]","[1.60531008e-30 2.96630866e-01 1.89866976e+00 ... 1.55522379e-06
 4.27914861e-06 7.21682781e-07]",15.0,"[0, 1]",72.0,44.0,0,0,0,1,1,1
620,13,22,13,49,1.0,4541.015624999999,15.855483870967745,12,10354737.066570625,9250.5499017525,0.19594472236719898,345.0937193066052,2362451.846893864,43.917869567871094,"[0, 0]","[286413.5742187499, 82983.39843750003]",0.24268794671384908,15.84,9e-05,439.45312499999994,26220.703124999996,25781.249999999996,9082.031249999998,1,10156.249999999998,0.32762810283453325,72.0,43.917869567871094,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.99023437e+04
 4.99511719e+04 5.00000000e+04]","[2.85388459e-30 3.26075538e-01 1.86527891e+00 ... 1.09992427e-05
 1.48989842e-05 5.47419849e-06]",15.0,"[0, 1]",72.0,43.0,0,0,0,1,1,1
621,13,23,13,48,1.0,4541.015624999999,15.855483870967745,12,12710237.639715932,9913.650793166244,0.19231574128663803,477.7902015665864,2734368.652255522,42.930686950683594,"[0, 0]","[309374.99999999994, 99096.67968750003]",0.260752897097863,16.560000000000002,9e-05,390.62499999999994,26904.296874999996,26513.671874999996,9082.031249999998,1,10205.078124999998,0.32453804496731065,72.0,42.930686950683594,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.99023437e+04
 4.99511719e+04 5.00000000e+04]","[6.96749168e-34 4.71225619e-01 2.52366620e+00 ... 8.91176453e-08
 2.70504519e-06 4.05979411e-08]",15.0,"[0, 1]",72.0,42.0,0,0,0,1,1,1
622,13,24,13,47,1.0,4589.843749999999,15.6868085106383,12,8682122.106896633,9267.057558968327,0.20507165967668278,495.5342975381932,2693244.130005375,41.946746826171875,"[0, 0]","[231628.41796875, 62438.96484375]",0.3151173297293798,16.560000000000002,9e-05,341.79687499999994,30419.921874999996,30078.124999999996,9179.687499999998,1,10205.078124999998,0.29468968816917246,72.0,41.946746826171875,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.99023437e+04
 4.99511719e+04 5.00000000e+04]","[2.26373805e-30 3.58802829e-01 1.97833041e+00 ... 1.85871857e-05
 2.30499131e-05 9.14209220e-06]",15.0,"[0, 1]",72.0,41.0,0,0,0,1,1,1
623,13,25,13,46,1.0,4638.671874999999,15.521684210526319,12,7116891.419976809,8952.474386792377,0.23358305964591228,468.34861755951187,2594323.9779534074,40.97651672363281,"[0, 0]","[211486.81640625, 103125.00000000003]",0.37666874985456844,16.560000000000002,9e-05,292.96874999999994,25048.828124999996,24755.859374999996,9277.343749999998,1,25732.421874999996,0.35755891555267405,72.0,40.97651672363281,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.99023437e+04
 4.99511719e+04 5.00000000e+04]","[1.50654589e-30 2.90230475e-01 1.57039343e+00 ... 3.50553335e-07
 2.26636134e-06 1.70808987e-07]",15.0,"[0, 1]",72.0,40.0,0,0,0,1,1,1
624,13,26,13,45,1.0,4638.671874999999,15.521684210526319,12,7600781.572885535,7275.923789922991,0.19021180842368965,488.09161695022556,2693890.183833082,40.034568786621094,"[0, 0]","[224780.27343749994, 41088.867187500044]",0.0,15.84,9e-05,244.14062499999997,31396.484374999996,31152.343749999996,9277.343749999998,1,10205.078124999998,0.33450675603599384,72.0,40.034568786621094,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.99023437e+04
 4.99511719e+04 5.00000000e+04]","[2.76539745e-30 1.91135283e-01 9.23889468e-01 ... 4.45799008e-06
 6.72270221e-06 2.24528987e-06]",15.0,"[0, 1]",72.0,40.0,0,0,0,1,1,1
625,13,27,13,44,1.0,4638.671874999999,15.521684210526319,12,9341696.517562356,8901.76839259771,0.20509548902452707,547.9697609976442,2909741.3126464766,38.99160385131836,"[0, 0]","[250561.52343750006, 96679.6875]",0.0,15.84,9e-05,341.79687499999994,25683.593749999996,25341.796874999996,9277.343749999998,1,30224.609374999996,0.3384410797219374,72.0,38.99160385131836,"[0.00000000e+00 4.88281250e+01 9.76562500e+01 ... 4.99023437e+04
 4.99511719e+04 5.00000000e+04]","[3.37226597e-31 2.90835999e-01 1.42906080e+00 ... 2.69474296e-06
 2.87300441e-06 1.35216435e-06]",15.0,"[0, 1]",72.0,38.0,0,0,0,1,1,1
